person_id,transaction_date,name,age,sex,education,has_children,has_property,has_car,ever_loan,loan_paid,annual_salary,invested_amount,personal_loan,mortgage,auto_loan,credit_card,overdraft,payroll_loan,student_loan,working_capital_loan
18943,2023-02-05,Alessandro Johnson,45,Male,Bachelor,No,No,Yes,Yes,No,80k-120k,<1k,0,1,1,1,0,0,0,1
18432,2020-03-02,Freya Garcia,60,Male,Primary,No,No,Yes,No,No,30k-50k,10k-50k,0,1,1,0,1,0,0,0
2748,2023-01-06,Eva White,39,Male,Bachelor,Yes,No,No,No,No,80k-120k,1k-10k,1,0,1,1,0,0,0,1
190,2023-08-02,Clara Martin,63,Male,Primary,Yes,No,No,Yes,No,<30k,10k-50k,1,0,0,1,1,0,0,0
19119,2022-12-05,Eva Costa,19,Male,Primary,Yes,Yes,No,No,No,30k-50k,<1k,0,1,0,0,0,0,0,1
35774,2020-05-05,Amelia Rossi,49,Female,Primary,No,No,Yes,Yes,No,30k-50k,10k-50k,1,1,1,1,0,1,0,0
1900,2021-02-04,Hugo Taylor,29,Male,Bachelor,Yes,No,Yes,Yes,Yes,80k-120k,<1k,0,1,1,1,1,0,0,0
1268,2022-09-24,Oliver Thompson,68,Female,Bachelor,No,No,Yes,No,No,80k-120k,<1k,1,1,0,1,0,0,0,0
31552,2021-12-07,Anna Taylor,27,Male,Postgraduate,Yes,Yes,Yes,Yes,Yes,80k-120k,<1k,1,1,1,1,0,0,0,1
11395,2022-04-04,Sofia Bianchi,58,Female,Secondary,No,Yes,Yes,Yes,Yes,30k-50k,10k-50k,1,1,0,1,0,0,0,0
3557,2021-10-07,Alessandro Pereira,33,Female,Secondary,Yes,Yes,No,No,No,30k-50k,1k-10k,1,1,1,0,0,0,0,0
3891,2023-04-22,Oscar Fischer,70,Female,Postgraduate,Yes,No,Yes,No,No,>120k,1k-10k,0,1,1,1,0,0,0,1
30741,2022-09-11,Martina Meyer,51,Male,Primary,Yes,Yes,Yes,No,No,30k-50k,1k-10k,0,1,1,1,1,0,0,0
14503,2021-08-04,Charlie Fischer,51,Female,Secondary,Yes,Yes,Yes,No,No,50k-80k,1k-10k,0,1,1,1,0,0,0,0
21778,2020-12-21,Matteo Costa,21,Male,Secondary,Yes,No,Yes,No,No,30k-50k,1k-10k,0,0,1,0,0,0,1,0
10628,2023-10-11,Mia Bianchi,24,Male,Secondary,Yes,No,No,No,No,50k-80k,<1k,0,1,0,1,1,0,1,0
8793,2022-08-03,Eva Moreau,59,Male,Primary,No,Yes,No,No,No,<30k,10k-50k,1,0,0,0,0,0,0,0
8434,2022-12-26,Alessandro Lefevre,40,Male,Secondary,No,Yes,No,Yes,Yes,50k-80k,<1k,1,0,1,0,0,1,0,0
11017,2023-04-01,Louise Fernandez,41,Female,Secondary,No,No,Yes,No,No,30k-50k,1k-10k,0,0,0,1,0,0,0,0
23898,2021-09-14,Isabella Smith,45,Female,Primary,No,Yes,No,No,No,30k-50k,1k-10k,0,1,0,1,0,0,0,0
2613,2022-01-30,Francesco White,18,Female,Primary,Yes,Yes,Yes,No,No,30k-50k,<1k,0,0,0,1,0,0,0,0
23484,2021-02-06,Thomas Moreau,71,Female,Primary,Yes,Yes,No,No,No,30k-50k,1k-10k,1,1,0,1,1,0,0,1
17160,2020-11-26,James Martin,62,Female,Secondary,Yes,No,Yes,No,No,50k-80k,1k-10k,0,1,0,0,0,0,0,0
14542,2020-10-19,Giovanni Müller,61,Male,Primary,No,No,Yes,No,No,30k-50k,<1k,0,1,0,1,0,1,0,0
35921,2020-04-05,Charlotte Martin,19,Female,Postgraduate,Yes,No,Yes,No,No,80k-120k,1k-10k,0,1,1,0,0,1,0,1
26532,2021-02-18,Lucas Costa,35,Female,Primary,Yes,No,No,Yes,No,30k-50k,10k-50k,1,0,1,1,0,0,0,0
1586,2021-03-14,Elena Anderson,50,Female,Postgraduate,No,Yes,No,No,No,>120k,1k-10k,1,1,1,1,0,0,0,1
3944,2022-05-03,Anna Garcia,33,Male,Secondary,Yes,Yes,No,No,No,30k-50k,<1k,1,0,0,1,0,0,0,1
23940,2022-12-30,Noah Walker,20,Male,Primary,No,No,Yes,Yes,No,30k-50k,<1k,0,0,1,0,0,0,0,0
19458,2023-11-09,Charlie Schmidt,63,Male,Postgraduate,No,No,Yes,No,No,80k-120k,1k-10k,1,1,1,1,1,0,0,0
1022,2023-10-07,Laura Santos,65,Female,Postgraduate,Yes,Yes,Yes,Yes,No,>120k,>50k,1,1,1,1,0,0,0,1
11654,2020-11-05,Matteo Moreau,49,Female,Secondary,No,No,Yes,No,No,30k-50k,10k-50k,0,0,0,0,0,0,0,0
13418,2020-06-10,Arthur Costa,35,Female,Primary,No,No,No,No,No,<30k,10k-50k,0,0,0,0,0,0,0,0
9693,2023-06-08,Clara Ricci,47,Female,Secondary,Yes,No,No,Yes,No,50k-80k,<1k,1,0,1,1,0,0,0,1
6874,2023-09-13,Andrea Costa,46,Male,Postgraduate,No,No,No,Yes,Yes,80k-120k,<1k,1,1,1,0,0,0,0,0
5676,2021-02-14,James Costa,61,Male,Secondary,Yes,No,Yes,No,No,50k-80k,1k-10k,0,1,0,1,1,0,0,0
162,2020-10-25,Arthur Fischer,25,Female,Secondary,No,No,Yes,No,No,30k-50k,<1k,0,0,0,0,0,0,0,0
37066,2023-01-15,George Smith,21,Female,Postgraduate,No,Yes,Yes,Yes,Yes,>120k,<1k,1,1,0,1,1,0,0,0
26558,2021-02-03,Jack Bernard,57,Female,Primary,No,Yes,No,No,No,30k-50k,<1k,1,1,0,1,0,0,0,0
33764,2023-11-05,Amelia Dubois,68,Female,Secondary,Yes,No,Yes,Yes,Yes,50k-80k,1k-10k,1,1,0,0,0,0,0,0
32607,2021-05-25,Thomas Meyer,21,Female,Secondary,No,Yes,Yes,No,No,50k-80k,1k-10k,1,1,1,1,0,1,0,0
11535,2021-12-18,Isabella Bernard,41,Female,Primary,Yes,No,Yes,No,No,<30k,<1k,0,0,0,1,0,0,0,0
29128,2021-06-20,Anna Weber,32,Male,Secondary,Yes,No,No,No,No,30k-50k,1k-10k,0,0,0,1,0,0,0,1
25852,2021-08-03,Chiara Silva,69,Male,Secondary,Yes,No,No,Yes,Yes,30k-50k,1k-10k,0,1,0,0,0,1,1,0
1017,2021-05-29,Harry Lopez,49,Male,Bachelor,Yes,Yes,No,Yes,Yes,80k-120k,1k-10k,1,1,1,1,0,1,0,1
24254,2021-12-08,Arthur Dupont,25,Male,Primary,Yes,No,No,No,No,30k-50k,10k-50k,0,0,0,0,0,0,0,0
24277,2023-05-11,Jules Meyer,50,Female,Bachelor,Yes,Yes,Yes,No,No,50k-80k,1k-10k,1,1,1,1,1,0,0,0
23248,2021-03-18,Marie Fernandez,58,Male,Secondary,Yes,No,No,Yes,No,50k-80k,<1k,1,1,1,1,1,0,0,0
24301,2020-07-07,Hugo Weber,39,Female,Primary,Yes,No,No,No,No,<30k,1k-10k,0,0,1,0,0,0,0,0
8530,2023-09-27,Chiara White,20,Male,Bachelor,Yes,No,Yes,No,No,50k-80k,10k-50k,1,1,0,1,0,0,0,0
17263,2022-04-08,Marco Garcia,37,Male,Secondary,Yes,Yes,Yes,Yes,No,30k-50k,10k-50k,1,1,1,1,1,0,0,1
9269,2023-11-20,Oliver Thompson,24,Female,Primary,Yes,No,No,No,No,<30k,<1k,0,0,0,0,1,0,0,0
21272,2021-07-28,Paolo Garcia,72,Female,Primary,Yes,No,Yes,No,No,<30k,1k-10k,1,0,0,0,0,0,0,0
12186,2022-07-08,Clara Gallo,27,Male,Secondary,Yes,Yes,No,No,No,30k-50k,1k-10k,0,0,0,1,1,0,0,0
21244,2021-06-19,Giulia Müller,32,Male,Bachelor,Yes,Yes,No,No,No,80k-120k,<1k,0,1,1,1,0,0,0,0
39100,2022-11-02,Paolo Lefevre,30,Female,Bachelor,No,No,Yes,Yes,Yes,50k-80k,<1k,1,1,0,1,1,1,0,1
8572,2022-02-16,Jules Santos,68,Female,Secondary,No,Yes,Yes,No,No,30k-50k,1k-10k,0,0,0,1,0,0,0,1
39977,2021-12-05,James Dubois,69,Male,Secondary,Yes,Yes,No,Yes,Yes,50k-80k,<1k,1,0,0,0,0,0,0,0
38045,2023-10-26,Sophia Brown,30,Male,Secondary,No,No,Yes,Yes,Yes,50k-80k,<1k,0,1,0,1,0,0,0,1
2569,2022-02-11,Jules Thompson,37,Male,Secondary,No,Yes,No,Yes,Yes,50k-80k,<1k,0,1,1,1,0,0,0,0
2028,2020-04-18,Charlie Dubois,34,Male,Secondary,Yes,Yes,Yes,Yes,Yes,50k-80k,<1k,1,1,1,1,0,1,0,0
2696,2022-03-25,Thomas Santos,26,Male,Primary,No,No,Yes,No,No,<30k,1k-10k,1,1,0,1,0,1,0,0
5259,2020-12-28,Anna Moreau,36,Female,Bachelor,No,No,Yes,No,No,80k-120k,1k-10k,0,1,0,1,0,0,0,1
22003,2021-05-15,Isabella Silva,47,Female,Secondary,No,Yes,No,No,No,50k-80k,1k-10k,1,1,0,1,0,0,0,0
39505,2020-05-15,Chiara Moreau,68,Male,Secondary,Yes,No,Yes,Yes,No,50k-80k,10k-50k,1,1,0,0,0,1,0,1
33160,2022-12-10,Paul Schmidt,70,Female,Bachelor,No,Yes,Yes,No,No,50k-80k,1k-10k,0,1,0,1,0,0,0,0
13987,2021-12-18,Jules Johnson,28,Female,Bachelor,Yes,No,No,Yes,Yes,80k-120k,<1k,1,0,1,1,1,0,0,0
12667,2020-12-29,George Rossi,20,Male,Postgraduate,No,No,No,No,No,>120k,10k-50k,1,1,1,1,0,0,0,0
38661,2021-07-02,Oliver Johnson,51,Female,Secondary,Yes,No,No,Yes,No,30k-50k,10k-50k,1,0,0,1,1,0,0,1
3562,2020-03-21,Paolo Dupont,61,Male,Bachelor,No,No,Yes,Yes,No,50k-80k,10k-50k,1,0,0,1,0,0,1,0
26855,2020-06-19,Arthur Silva,18,Male,Secondary,No,Yes,No,Yes,Yes,50k-80k,>50k,1,0,1,0,1,1,0,1
38953,2023-04-23,Elena Smith,67,Female,Bachelor,Yes,No,Yes,No,No,80k-120k,<1k,1,1,0,1,0,1,0,0
22663,2023-08-16,Lily Johnson,59,Male,Secondary,No,Yes,No,Yes,Yes,30k-50k,10k-50k,1,1,1,1,1,0,0,0
8393,2021-11-19,Clara Bernard,22,Female,Primary,No,Yes,No,Yes,No,30k-50k,<1k,0,0,0,0,0,0,0,1
30536,2023-08-11,Chiara Thompson,52,Male,Primary,No,Yes,Yes,No,No,<30k,<1k,1,1,0,1,0,1,1,0
13068,2020-07-22,Chiara Taylor,39,Male,Bachelor,No,No,No,No,No,80k-120k,10k-50k,1,1,0,0,0,0,0,1
23600,2022-11-19,Emily Rossi,43,Male,Primary,No,Yes,Yes,No,No,30k-50k,<1k,0,0,0,0,0,0,0,0
35223,2020-12-01,Louis Moreau,45,Female,Bachelor,No,Yes,Yes,Yes,No,50k-80k,1k-10k,0,1,1,1,0,1,0,0
11838,2022-01-17,Jack Pereira,31,Male,Bachelor,No,No,Yes,No,No,80k-120k,<1k,0,1,1,1,0,0,0,0
14040,2022-04-13,Jacob Ricci,46,Female,Primary,No,No,Yes,Yes,Yes,30k-50k,<1k,1,1,1,1,1,0,0,0
30819,2022-04-26,Emily Wagner,32,Male,Secondary,Yes,No,No,No,No,50k-80k,>50k,1,0,1,0,0,0,0,1
19116,2022-06-22,Elena Walker,63,Female,Primary,Yes,Yes,Yes,No,No,<30k,10k-50k,1,0,0,1,1,0,0,0
10966,2023-11-14,Jacob Wagner,61,Male,Secondary,Yes,Yes,No,No,No,50k-80k,<1k,0,1,1,0,0,1,0,0
24539,2020-07-05,Sofia Brown,51,Male,Bachelor,No,No,Yes,Yes,Yes,50k-80k,10k-50k,1,1,0,1,0,1,0,1
5057,2023-02-15,Freya Conti,47,Female,Secondary,No,Yes,Yes,No,No,30k-50k,1k-10k,1,1,1,1,1,1,0,1
32483,2020-04-11,Alessandro Brown,21,Female,Primary,Yes,No,Yes,No,No,<30k,<1k,0,0,0,0,1,0,0,0
8111,2020-09-17,Lily Gallo,23,Male,Bachelor,Yes,No,Yes,Yes,Yes,80k-120k,<1k,1,1,0,1,0,0,0,0
13774,2020-11-29,Chiara White,64,Male,Secondary,Yes,No,Yes,No,No,30k-50k,10k-50k,1,1,0,0,0,0,0,0
27267,2022-04-15,Paul Santos,28,Male,Primary,Yes,No,Yes,Yes,Yes,30k-50k,<1k,1,0,0,1,0,0,0,0
17413,2021-09-14,Antoine Bianchi,54,Male,Secondary,No,No,Yes,No,No,50k-80k,<1k,0,1,0,0,0,0,0,0
33271,2021-01-21,Antoine Smith,45,Female,Bachelor,Yes,No,No,No,No,80k-120k,1k-10k,0,1,1,1,1,0,0,0
6911,2022-03-10,Emily Garcia,33,Male,Secondary,Yes,Yes,Yes,No,No,30k-50k,10k-50k,0,1,0,0,0,0,0,0
25447,2021-12-28,Francesco Dupont,35,Female,Primary,No,Yes,Yes,Yes,Yes,30k-50k,10k-50k,1,1,0,1,1,0,0,0
207,2023-02-12,Martina Lopez,44,Female,Secondary,No,Yes,Yes,Yes,Yes,50k-80k,<1k,0,1,1,1,0,0,0,0
21519,2020-10-12,Anna Costa,64,Male,Bachelor,No,No,No,No,No,80k-120k,<1k,1,1,0,1,0,0,0,1
22362,2020-05-19,Noah Wagner,53,Female,Postgraduate,No,Yes,Yes,No,No,80k-120k,1k-10k,1,1,0,0,0,0,1,1
23420,2021-08-23,Alessandro Johnson,47,Male,Secondary,Yes,Yes,Yes,Yes,No,50k-80k,1k-10k,1,1,1,1,1,1,0,1
22404,2023-12-28,James Schmidt,64,Male,Secondary,No,No,Yes,Yes,No,50k-80k,1k-10k,1,1,0,1,0,0,0,0
18142,2021-04-10,Jack Silva,73,Female,Bachelor,No,No,Yes,No,No,80k-120k,1k-10k,1,1,1,1,0,0,1,0
14821,2020-10-29,Thomas Costa,59,Male,Bachelor,No,No,No,Yes,Yes,80k-120k,10k-50k,0,0,1,0,0,0,0,0
6375,2022-12-22,Lily Wagner,39,Male,Bachelor,No,No,Yes,Yes,Yes,50k-80k,1k-10k,1,1,0,1,0,0,1,1
1679,2023-12-22,George Gallo,62,Male,Secondary,No,No,Yes,No,No,50k-80k,<1k,1,1,1,1,1,1,0,1
33828,2022-04-13,Giovanni Santos,37,Male,Primary,No,No,Yes,Yes,Yes,30k-50k,1k-10k,1,0,1,1,1,0,0,1
16199,2020-10-14,Giovanni Müller,34,Female,Primary,Yes,No,Yes,No,No,<30k,<1k,0,1,1,0,1,0,0,0
9915,2020-12-15,Charlie Gallo,74,Female,Secondary,Yes,No,No,No,No,30k-50k,<1k,0,0,1,0,1,0,0,0
27891,2023-04-11,Lucas Lefevre,52,Female,Secondary,No,No,No,Yes,Yes,50k-80k,>50k,1,0,1,0,1,1,0,1
22300,2021-11-21,Lucas Lefevre,64,Female,Primary,Yes,No,No,Yes,No,30k-50k,10k-50k,1,1,0,1,0,0,0,1
2694,2022-02-02,Sofia Bianchi,20,Female,Primary,No,Yes,Yes,No,No,<30k,10k-50k,0,0,0,1,1,0,0,0
29468,2022-06-07,Camille Bianchi,19,Female,Secondary,Yes,Yes,Yes,Yes,Yes,30k-50k,1k-10k,1,1,0,1,1,1,0,1
29724,2021-10-29,Oliver Costa,69,Male,Postgraduate,No,No,Yes,No,No,>120k,<1k,1,1,1,0,0,0,0,0
3628,2023-09-03,Mia Santos,61,Male,Primary,Yes,Yes,No,Yes,Yes,<30k,1k-10k,1,0,1,0,0,1,0,0
25940,2022-08-14,Harry Santos,25,Male,Secondary,No,No,Yes,Yes,No,50k-80k,>50k,1,1,0,1,1,1,0,1
21835,2023-02-21,Amelia Costa,20,Male,Postgraduate,No,Yes,Yes,No,No,80k-120k,<1k,1,1,1,0,1,0,1,1
18048,2023-11-16,Freya Martin,32,Male,Bachelor,Yes,Yes,No,No,No,80k-120k,10k-50k,1,1,1,0,0,1,0,1
26106,2021-11-16,Noah Brown,21,Male,Postgraduate,No,No,Yes,No,No,>120k,10k-50k,0,1,1,1,0,0,0,1
10231,2022-11-20,Charlotte Santos,48,Male,Secondary,Yes,Yes,Yes,Yes,Yes,30k-50k,<1k,1,1,0,1,1,0,0,0
15708,2020-11-17,Olivia Ricci,31,Female,Bachelor,Yes,Yes,No,No,No,80k-120k,1k-10k,0,0,1,0,0,0,0,0
21977,2020-11-13,Marco Lopez,27,Female,Secondary,Yes,No,Yes,No,No,50k-80k,1k-10k,0,1,1,1,1,0,1,0
23777,2022-02-24,Louis Martin,67,Male,Postgraduate,Yes,Yes,No,No,No,>120k,10k-50k,1,1,1,0,1,1,1,0
30081,2022-08-08,Andrea Dubois,18,Female,Primary,No,No,Yes,No,No,<30k,<1k,0,0,0,1,0,1,0,0
1307,2021-08-19,Laura Costa,58,Female,Secondary,No,No,No,Yes,Yes,30k-50k,<1k,1,1,0,1,0,1,0,0
6777,2021-02-24,Giulia Santos,36,Female,Primary,No,No,Yes,Yes,No,30k-50k,1k-10k,0,0,0,0,0,0,0,0
27252,2021-08-20,Paolo Santos,18,Male,Secondary,No,Yes,Yes,No,No,30k-50k,10k-50k,0,1,0,0,0,0,0,0
9475,2020-06-06,Jack Conti,70,Male,Secondary,Yes,Yes,No,No,No,30k-50k,<1k,0,1,0,1,0,0,0,1
21960,2023-09-24,Harry Costa,21,Male,Postgraduate,Yes,Yes,Yes,Yes,Yes,>120k,>50k,1,1,1,1,0,0,1,1
5531,2022-02-27,Charlotte Garcia,74,Female,Bachelor,No,No,Yes,No,No,80k-120k,1k-10k,1,1,1,1,0,1,1,0
29321,2020-11-29,Giulia Fernandez,23,Male,Primary,Yes,No,No,Yes,Yes,<30k,<1k,1,0,0,0,0,1,0,0
3749,2021-09-02,Camille Thompson,62,Male,Secondary,Yes,Yes,Yes,No,No,30k-50k,<1k,0,1,1,0,0,0,0,0
31969,2020-10-01,Lucas Moreau,44,Female,Primary,Yes,No,Yes,No,No,30k-50k,<1k,0,1,0,0,1,0,0,0
32563,2020-01-04,Sofia Martinez,23,Male,Postgraduate,No,Yes,No,No,No,>120k,<1k,0,1,1,1,0,0,0,0
13546,2023-06-15,Lucas Santos,71,Male,Bachelor,No,Yes,No,Yes,Yes,80k-120k,10k-50k,1,0,1,1,1,1,0,0
664,2023-03-18,Luca Silva,25,Male,Bachelor,No,Yes,No,Yes,Yes,80k-120k,<1k,1,1,1,1,0,0,0,0
34767,2023-03-21,Matteo Santos,24,Female,Secondary,Yes,Yes,No,Yes,Yes,50k-80k,1k-10k,1,1,0,1,0,1,0,1
7995,2023-02-03,George Bianchi,53,Male,Primary,No,Yes,Yes,Yes,Yes,30k-50k,10k-50k,1,1,0,1,1,1,0,0
28022,2021-07-10,Francesco Martinez,35,Male,Primary,Yes,Yes,Yes,Yes,Yes,<30k,<1k,0,1,0,1,1,0,0,0
30304,2022-07-06,George Moreau,32,Female,Secondary,No,Yes,No,Yes,Yes,50k-80k,>50k,1,1,1,0,1,1,0,1
3305,2022-09-09,Chiara Ricci,28,Female,Secondary,No,Yes,Yes,Yes,No,50k-80k,1k-10k,1,1,0,0,0,0,0,1
39354,2021-07-14,Matteo Johnson,68,Male,Bachelor,No,Yes,No,Yes,Yes,80k-120k,10k-50k,1,1,0,1,0,0,0,1
17676,2021-07-13,Andrea Johnson,24,Female,Bachelor,Yes,Yes,Yes,No,No,50k-80k,1k-10k,0,1,0,1,0,0,0,1
23939,2022-02-23,Alessandro Rossi,31,Female,Primary,Yes,No,Yes,Yes,Yes,30k-50k,<1k,1,0,1,0,0,1,0,0
23665,2021-02-07,Antoine Santos,64,Male,Secondary,No,No,No,No,No,50k-80k,1k-10k,1,0,1,0,1,0,0,1
1637,2020-06-26,Thomas Fernandez,36,Male,Secondary,No,Yes,Yes,Yes,Yes,50k-80k,10k-50k,1,1,0,1,0,0,0,0
20081,2023-02-02,Anna Bernard,62,Female,Primary,No,No,Yes,No,No,<30k,>50k,0,1,0,1,1,0,0,0
27729,2023-02-23,Lucas Lefevre,48,Female,Bachelor,Yes,Yes,No,No,No,80k-120k,<1k,0,0,1,1,0,1,0,1
26737,2023-04-28,Giovanni Weber,28,Male,Postgraduate,No,Yes,No,No,No,>120k,1k-10k,1,1,1,1,0,0,0,1
28674,2023-11-23,Noah Gallo,68,Female,Primary,No,No,No,Yes,No,<30k,<1k,0,0,0,1,0,1,0,0
37506,2020-01-11,James Martin,38,Female,Secondary,No,No,Yes,Yes,Yes,50k-80k,<1k,1,0,1,0,0,1,0,0
855,2020-02-06,Camille Wagner,46,Female,Bachelor,Yes,No,No,No,No,50k-80k,1k-10k,0,1,0,1,1,1,0,0
24549,2020-07-14,Amelia Schmidt,38,Female,Postgraduate,No,Yes,Yes,Yes,Yes,80k-120k,1k-10k,1,1,0,1,0,1,0,1
38624,2022-06-08,Matteo Meyer,64,Male,Primary,Yes,Yes,Yes,No,No,30k-50k,1k-10k,0,1,0,1,0,0,0,0
7393,2023-08-10,Paolo Pereira,62,Female,Primary,No,No,No,No,No,30k-50k,>50k,0,0,1,1,0,0,0,0
21557,2021-08-15,Oliver Silva,52,Female,Primary,Yes,Yes,No,Yes,Yes,<30k,<1k,1,0,1,0,0,0,0,0
38560,2021-03-20,Matteo Ricci,32,Female,Bachelor,No,Yes,Yes,No,No,50k-80k,1k-10k,1,0,0,1,0,0,0,0
26310,2023-10-04,Francesco Ricci,28,Male,Primary,No,No,Yes,No,No,30k-50k,10k-50k,1,1,1,0,1,0,0,0
21920,2020-08-17,Marco Thompson,59,Female,Secondary,No,No,Yes,No,No,50k-80k,<1k,0,1,1,1,0,0,0,0
4932,2022-02-21,Isabella Santos,34,Male,Primary,Yes,Yes,No,No,No,30k-50k,<1k,0,1,1,0,0,1,0,0
32971,2021-10-29,Charlie Anderson,61,Male,Postgraduate,Yes,Yes,Yes,No,No,>120k,<1k,1,1,0,0,0,0,0,1
12689,2023-01-15,Jules Taylor,56,Female,Secondary,Yes,Yes,Yes,No,No,30k-50k,10k-50k,0,1,0,1,0,0,0,0
25343,2021-06-16,Jacob Silva,36,Female,Primary,No,No,No,Yes,Yes,30k-50k,10k-50k,1,0,1,1,0,1,0,0
37158,2021-12-01,Giulia Costa,57,Male,Primary,Yes,Yes,Yes,Yes,No,30k-50k,1k-10k,0,1,0,1,0,1,0,0
2328,2020-09-28,Antoine Wagner,69,Female,Postgraduate,Yes,No,Yes,No,No,80k-120k,<1k,1,1,1,0,0,0,0,0
198,2023-08-15,Sophia Lopez,70,Male,Secondary,Yes,No,No,No,No,30k-50k,>50k,1,0,1,1,0,0,0,1
23510,2023-03-21,Lily Rossi,62,Female,Bachelor,No,Yes,No,No,No,50k-80k,<1k,1,0,1,1,0,0,1,0
34699,2023-06-03,Lily Garcia,47,Male,Secondary,Yes,No,Yes,Yes,Yes,30k-50k,1k-10k,1,0,0,1,0,0,0,0
15088,2020-12-06,Alessandro Bernard,61,Female,Bachelor,No,No,Yes,No,No,50k-80k,<1k,0,1,1,0,1,0,0,0
22672,2022-11-02,Matteo Walker,22,Male,Secondary,Yes,No,No,Yes,Yes,30k-50k,<1k,1,0,0,1,0,0,0,1
25185,2023-02-12,Olivia Smith,61,Male,Secondary,No,No,Yes,No,No,50k-80k,<1k,1,1,1,1,0,0,0,0
27849,2020-09-18,James Pereira,38,Male,Primary,No,Yes,Yes,No,No,30k-50k,<1k,1,0,1,1,0,0,0,0
20667,2021-12-26,Chiara Lefevre,66,Female,Primary,No,Yes,Yes,No,No,<30k,<1k,0,1,0,0,0,0,0,0
15709,2021-08-13,Antoine Smith,61,Female,Secondary,No,No,Yes,No,No,30k-50k,10k-50k,0,0,1,0,1,0,0,1
26371,2022-12-02,Mia Anderson,20,Male,Secondary,Yes,No,No,Yes,Yes,50k-80k,<1k,1,1,1,1,0,0,0,1
2812,2020-03-22,Marco Fernandez,35,Female,Bachelor,No,Yes,Yes,Yes,Yes,50k-80k,1k-10k,0,1,0,0,1,0,0,1
6547,2021-04-23,George Schmidt,50,Female,Primary,Yes,Yes,Yes,No,No,<30k,1k-10k,0,0,0,1,1,0,0,1
34755,2021-03-10,Alessandro Wagner,67,Male,Secondary,Yes,No,No,No,No,50k-80k,<1k,0,1,1,1,0,0,0,1
30207,2020-03-15,Arthur Ricci,72,Male,Primary,Yes,No,No,No,No,<30k,<1k,0,0,0,0,1,1,0,0
11412,2021-02-28,Sofia Fischer,44,Male,Secondary,Yes,No,Yes,No,No,50k-80k,<1k,0,0,0,0,0,1,0,1
2912,2020-03-29,Paolo Anderson,51,Male,Secondary,Yes,Yes,Yes,Yes,Yes,50k-80k,1k-10k,1,1,0,1,0,0,0,0
